Name,Source,Rarity,Type,Attunement,Properties,Weight,Value,Text
Brewer's Supplies,PHB,none,Artisan's Tools,,,9 lb.,20 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Brewing is the art of producing beer. Not only does beer serve as an alcoholic beverage, but the process of brewing purifies water. Crafting beer takes weeks of fermentation, but only a few hours of work. Components. Brewer's supplies include a large glass jug, a quantity of hops, a siphon, and several feet of tubing. History. Proficiency with brewer's supplies gives you additional insight on Intelligence (History) checks concerning events that involve alcohol as a significant element. Medicine. This tool proficiency grants additional insight when you treat anyone suffering from alcohol poisoning or when you can use alcohol to dull pain. Persuasion. A stiff drink can help soften the hardest heart. Your proficiency with brewer's supplies can help you ply someone with drink, giving them just enough alcohol to mellow their mood. Potable Water. Your knowledge of brewing enables you to purify water that would otherwise be undrinkable. As part of a long rest, you can purify up to 6 gallons of water, or 1 gallon as part of a short rest.Brewer's SuppliesActivityDCDetect poison or impurities in a drink10Identify alcohol15Ignore effects of alcohol20See the Tool Proficiencies entry for more information."
Bullseye Lantern,PHB,none,adventuring gear,,,2 lb.,10 gp,"A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil."
Burglar's Pack,PHB,none,adventuring gear,,,44½ lb.,16 gp,"Includes:a backpacka bag of 1,000 ball bearings10 feet of stringa bell5 candlesa crowbara hammer10 pitonsa hooded lantern2 flasks of oil5 days rationsa tinderboxa waterskin50 feet of hempen rope"
Calligrapher's Supplies,PHB,none,Artisan's Tools,,,5 lb.,10 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Calligraphy treats writing as a delicate, beautiful art. Calligraphers produce text that is pleasing to the eye, using a style that is difficult to forge. Their supplies also give them some ability to examine scripts and determine if they are legitimate, since a calligrapher's training involves long hours of studying writing and attempting to replicate its style and design. Components. Calligrapher's supplies include ink, a dozen sheets of parchment, and three quills. Arcana. Although calligraphy is of little help in deciphering the content of magical writings, proficiency with these supplies can aid in identifying who wrote a script of a magical nature. History. This tool proficiency can augment the benefit of successful checks made to analyze or investigate ancient writings, scrolls, or other texts, including runes etched in stone or messages in frescoes or other displays. Decipher Treasure Map. This tool proficiency grants you expertise in examining maps. You can make an Intelligence check to determine a map's age, whether a map includes any hidden messages, or similar facts.Calligrapher's SuppliesActivityDCIdentify writer of nonmagical script10Determine writer's state of mind15Spot forged text15Forge a signature20See the Tool Proficiencies entry for more information."
Caltrops (bag of 20),PHB,none,adventuring gear,,,2 lb.,1 gp,"As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw."
Carpenter's Tools,PHB,none,Artisan's Tools,,,6 lb.,8 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Skill at carpentry enables a character to construct wooden structures. A carpenter can build a house, a shack, a wooden cabinet, or similar items. Components. Carpenter's tools include a saw, a hammer, nails, a hatchet, a square, a ruler, an adze, a plane, and a chisel. History. This tool proficiency aids you in identifying the use and the origin of wooden buildings and other large wooden objects. Investigation. You gain additional insight when inspecting areas within wooden structures, because you know tricks of construction that can conceal areas from discovery. Perception. You can spot irregularities in wooden walls or floors, making it easier to find trap doors and secret passages. Stealth. You can quickly assess the weak spots in a wooden floor, making it easier to avoid the places that creak and groan when they're stepped on. Fortify. With 1 minute of work and raw materials, you can make a door or window harder to force open. Increase the DC needed to open it by 5. Temporary Shelter. As part of a long rest, you can construct a lean-to or a similar shelter to keep your group dry and in the shade for the duration of the rest. Because it was fashioned quickly from whatever wood was available, the shelter collapses 1d3 days after being assembled.Carpenter's ToolsActivityDCBuild a simple wooden structure10Design a complex wooden structure15Find a weak point in a wooden wall15Pry apart a door20See the Tool Proficiencies entry for more information."
Cartographer's Tools,PHB,none,Artisan's Tools,,,6 lb.,15 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Using cartographer's tools, you can create accurate maps to make travel easier for yourself and those who come after you. These maps can range from large-scale depictions of mountain ranges to diagrams that show the layout of a dungeon level. Components. Cartographer's tools consist of a quill, ink, parchment, a pair of compasses, calipers, and a ruler. Arcana, History, Religion. You can use your knowledge of maps and locations to unearth more detailed information when you use these skills. For instance, you might spot hidden messages in a map, identify when the map was made to determine if geographical features have changed since then, and so forth. Nature. Your familiarity with physical geography makes it easier for you to answer questions or solve issues relating to the terrain around you. Survival. Your understanding of geography makes it easier to find paths to civilization, to predict areas where villages or towns might be found, and to avoid becoming lost. You have studied so many maps that common patterns, such as how trade routes evolve and where settlements arise in relation to geographic locations, are familiar to you. Craft a Map. While traveling, you can draw a map as you go in addition to engaging in other activity.Cartographer's ToolsActivityDCDetermine a map's age and origin10Estimate direction and distance to a landmark15Discern that a map is fake15Fill in a missing part of a map20See the Tool Proficiencies entry for more information."
Carved bone statuette,DMG,none,treasure,,,,25 gp,
Chain (10 feet),PHB,none,adventuring gear,,,10 lb.,5 gp,A chain has 10 hit points. It can be burst with a successful DC 20 Strength check.
Chest,PHB,none,adventuring gear,,,25 lb.,5 gp,A chest holds 12 cubic feet or 300 pounds of gear.
Cinnamon,PHB,none,Trade Good,,,1 lb.,2 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Climber's Kit,PHB,none,adventuring gear,,,12 lb.,25 gp,"A climber's kit includes special pitons, boot tips, gloves, and a harness. You can use the climber's kit as an action to anchor yourself; when you do, you can't fall more than 25 feet from the point where you anchored yourself, and you can't climb more than 25 feet away from that point without undoing the anchor."
Cloth-of-gold vestments,DMG,none,treasure,,,,25 gp,
"Clothing, cold weather",IDRotF,none,adventuring gear,,,5 lb.,10 gp,"This outfit consists of a heavy fur coat or cloak over layers of wool clothing, as well as a fur-lined hat or hood, goggles, and fur-lined leather boots and gloves.As long as cold weather clothing remains dry, its wearer automatically succeeds on saving throws against the effects of extreme cold."
Cloves,PHB,none,Trade Good,,,1 lb.,3 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Cobbler's Tools,PHB,none,Artisan's Tools,,,5 lb.,5 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Although the cobbler's trade might seem too humble for an adventurer, a good pair of boots will see a character across rugged wilderness and through deadly dungeons. Components. Cobbler's tools consist of a hammer, an awl, a knife, a shoe stand, a cutter, spare leather, and thread. Arcana, History. Your knowledge of shoes aids you in identifying the magical properties of enchanted boots or the history of such items. Investigation. Footwear holds a surprising number of secrets. You can learn where someone has recently visited by examining the wear and the dirt that has accumulated on their shoes. Your experience in repairing shoes makes it easier for you to identify where damage might come from. Maintain Shoes. As part of a long rest, you can repair your companions' shoes. For the next 24 hours, up to six creatures of your choice who wear shoes you worked on can travel up to 10 hours a day without making saving throws to avoid exhaustion. Craft Hidden Compartment. With 8 hours of work, you can add a hidden compartment to a pair of shoes. The compartment can hold an object up to 3 inches long and 1 inch wide and deep. You make an Intelligence check using your tool proficiency to determine the Intelligence (Investigation) check DC needed to find the compartment.Cobbler's ToolsActivityDCDetermine a shoe's age and origin10Find a hidden compartment in a boot heel15See the Tool Proficiencies entry for more information."
Component Pouch,PHB,none,adventuring gear,,,2 lb.,25 gp,"A component pouch is a small, watertight leather belt pouch that has compartments to hold all the material components and other special items you need to cast your spells, except for those components that have a specific cost (as indicated in a spell's description)."
Cook's Utensils,PHB,none,Artisan's Tools,,,8 lb.,1 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Adventuring is a hard life. With a cook along on the journey, your meals will be much better than the typical mix of hardtack and dried fruit. Components. Cook's utensils include a metal pot, knives, forks, a stirring spoon, and a ladle. History. Your knowledge of cooking techniques allows you to assess the social patterns involved in a culture's eating habits. Medicine. When administering treatment, you can transform medicine that is bitter or sour into a pleasing concoction. Survival. When foraging for food, you can make do with ingredients you scavenge that others would be unable to transform into nourishing meals. Prepare Meals. As part of a short rest, you can prepare a tasty meal that helps your companions regain their strength. You and up to five creatures of your choice regain 1 extra hit point per Hit Die spent during a short rest, provided you have access to your cook's utensils and sufficient food.Cook's UtensilsActivityDCCreate a typical meal10Duplicate a meal10Spot poison or impurities in food15Create a gourmet meal15See the Tool Proficiencies entry for more information."
Copper chalice with silver filigree,DMG,none,treasure,,,,25 gp,
Costume Clothes,PHB,none,adventuring gear,,,4 lb.,5 gp,
Cow,PHB,none,Trade Good,,,,10 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Crampons,IDRotF,none,adventuring gear,,,¼ lb.,2 gp,A crampon is a metal plate with spikes that is strapped to the sole of a boot. A creature wearing crampons can't fall prone while moving across slippery ice.
Crossbow Bolt Case,PHB,none,adventuring gear,,,1 lb.,1 gp,This wooden case can hold up to twenty crossbow bolts.
Crossbow Bolts (20),PHB,none,ammunition,,,1½ lb.,1 gp,
Crowbar,PHB,none,adventuring gear,,,5 lb.,2 gp,Using a crowbar grants advantage to Strength checks where the crowbar's leverage can be applied.
Crystal,PHB,none,spellcasting focus,,,1 lb.,10 gp,"An arcane focus is a special item designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus."
Dagger,PHB,none,"weapon, simple weapon, melee weapon",,"1d4, piercing, - finesse, light, thrown (20/60 ft.)",1 lb.,2 gp," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Diplomat's Pack,PHB,none,adventuring gear,,,36 lb.,39 gp,Includes:a chest2 cases for maps and scrollsa set of fine clothesa bottle of inkan ink pena lamp2 flasks of oil5 sheets of papera vial of perfumesealing waxsoap
Disguise Kit,PHB,none,tools,,,3 lb.,25 gp,"This pouch of cosmetics, hair dye, and small props lets you create disguises that change your physical appearance. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a visual disguise.The perfect tool for anyone who wants to engage in trickery, a disguise kit enables its owner to adopt a false identity. Components. A disguise kit includes cosmetics, hair dye, small props, and a few pieces of clothing. Deception. In certain cases, a disguise can improve your ability to weave convincing lies. Intimidation. The right disguise can make you look more fearsome, whether you want to scare someone away by posing as a plague victim or intimidate a gang of thugs by taking the appearance of a bully. Performance. A cunning disguise can enhance an audience's enjoyment of a performance, provided the disguise is properly designed to evoke the desired reaction. Persuasion. Folk tend to trust a person in uniform. If you disguise yourself as an authority figure, your efforts to persuade others are often more effective. Create Disguise. As part of a long rest, you can create a disguise. It takes you 1 minute to don such a disguise once you have created it. You can carry only one such disguise on you at a time without drawing undue attention, unless you have a bag of holding or a similar method to keep them hidden. Each disguise weighs 1 pound.At other times, it takes 10 minutes to craft a disguise that involves moderate changes to your appearance, and 30 minutes for one that requires more extensive changes.Disguise KitActivityDCCover injuries or distinguishing marks10Spot a disguise being used by someone else15Copy a humanoid's appearance20See the Tool Proficiencies entry for more information."
Dragon,WDH,none,treasure,,,,1 gp,"Gold coin, half again as large as a nib (1 dragon = 100 nibs)"
Dragonchess Set,PHB,none,Gaming Set,,,½ lb.,1 gp,"If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a gaming set applies to one type of game, such as Three-Dragon Ante or games of chance that use dice. Components. A gaming set has all the pieces needed to play a specific game or type of game, such as a complete deck of cards or a board and tokens. History. Your mastery of a game includes knowledge of its history, as well as of important events it was connected to or prominent historical figures involved with it. Insight. Playing games with someone is a good way to gain understanding of their personality, granting you a better ability to discern their lies from their truths and read their mood. Sleight of Hand. Sleight of Hand is a useful skill for cheating at a game, as it allows you to swap pieces, palm cards, or alter a die roll. Alternatively, engrossing a target in a game by manipulating the components with dexterous movements is a great distraction for a pickpocketing attempt.Gaming SetActivityDCCatch a player cheating15Gain insight into an opponent's personality15"
Drum,PHB,none,Instrument,,,3 lb.,6 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Dulcimer,PHB,none,Instrument,,,10 lb.,25 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Dungeoneer's Pack,PHB,none,adventuring gear,,,61½ lb.,12 gp,Includes:a backpacka crowbara hammer10 pitons10 torchesa tinderbox10 days of rationsa waterskin50 feet of hempen rope
Emblem,PHB,none,spellcasting focus,,,,5 gp,"A holy symbol is a representation of a god or pantheon.A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
Embroidered silk handkerchief,DMG,none,treasure,,,,25 gp,
Entertainer's Pack,PHB,none,adventuring gear,,,38 lb.,40 gp,Includes:a backpacka bedroll2 costumes5 candles5 days of rationsa waterskina disguise kit
Explorer's Pack,PHB,none,adventuring gear,,,59 lb.,10 gp,Includes:a backpacka bedrolla mess kita tinderbox10 torches10 days of rationsa waterskin50 feet of hempen rope
Eye Agate,DMG,none,treasure,,,,10 gp,"A translucent circles of gray, white, brown, blue, or green gemstone."
Fine Clothes,PHB,none,adventuring gear,,,6 lb.,15 gp,
Fine Wine (Bottle),PHB,none,food and drink,,,,10 gp,
Fishing Tackle,PHB,none,adventuring gear,,,4 lb.,1 gp,"This kit includes a wooden rod, silken line, corkwood bobbers, steel hooks, lead sinkers, velvet lures, and narrow netting."
Flail,PHB,none,"weapon, martial weapon, melee weapon",,"1d8, bludgeoning",2 lb.,10 gp,
Flute,PHB,none,Instrument,,,1 lb.,2 gp,"If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
Forgery Kit,PHB,none,tools,,,5 lb.,15 gp,"This small box contains a variety of papers and parchments, pens and inks, seals and sealing wax, gold and silver leaf, and other supplies necessary to create convincing forgeries of physical documents. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to create a physical forgery of a document.A forgery kit is designed to duplicate documents and to make it easier to copy a person's seal or signature. Components. A forgery kit includes several different types of ink, a variety of parchments and papers, several quills, seals and sealing wax, gold and silver leaf, and small tools to sculpt melted wax to mimic a seal. Arcana. A forgery kit can be used in conjunction with the Arcana skill to determine if a magic item is real or fake. Deception. A well-crafted forgery, such as papers proclaiming you to be a noble or a writ that grants you safe passage, can lend credence to a lie. History. A forgery kit combined with your knowledge of history improves your ability to create fake historical documents or to tell if an old document is authentic. Investigation. When you examine objects, proficiency with a forgery kit is useful for determining how an object was made and whether it is genuine. Other Tools. Knowledge of other tools makes your forgeries that much more believable. For example, you could combine proficiency with a forgery kit and proficiency with cartographer's tools to make a fake map. Quick Fake. As part of a short rest, you can produce a forged document no more than one page in length. As part of a long rest, you can produce a document that is up to four pages long. Your Intelligence check using a forgery kit determines the DC for someone else's Intelligence (Investigation) check to spot the fake.Forgery KitActivityDCMimic handwriting15Duplicate a wax seal20See the Tool Proficiencies entry for more information."
Ginger,PHB,none,Trade Good,,,1 lb.,1 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Glaive,PHB,none,"weapon, martial weapon, melee weapon",,"1d10, slashing, - heavy, reach, two-handed",6 lb.,20 gp," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Glass Bottle,PHB,none,adventuring gear,,,2 lb.,2 gp,A bottle holds 1½ pints of liquid.
Glassblower's Tools,PHB,none,Artisan's Tools,,,5 lb.,30 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.Someone who is proficient with glassblower's tools has not only the ability to shape glass, but also specialized knowledge of the methods used to produce glass objects. Components. The tools include a blowpipe, a small marver, blocks, and tweezers. You need a source of heat to work glass. Arcana, History. Your knowledge of glassmaking techniques aids you when you examine glass objects, such as potion bottles or glass items found in a treasure hoard. For instance, you can study how a glass potion bottle has been changed by its contents to help determine a potion's effects. (A potion might leave behind a residue, deform the glass, or stain it.) Investigation. When you study an area, your knowledge can aid you if the clues include broken glass or glass objects. Identify Weakness. With 1 minute of study, you can identify the weak points in a glass object. Any damage dealt to the object by striking a weak spot is doubled.Glassblower's ToolsActivityDCIdentify source of glass10Determine what a glass object once held20See the Tool Proficiencies entry for more information."
Goat,PHB,none,Trade Good,,,,1 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Gold (gp),PHB,none,treasure,,,0.32 oz.,1 gp,"Common coins come in several different denominations based on the relative worth of the metal from which they are made. The three most common coins are the gold piece (gp), the silver piece (sp), and the copper piece (cp).With one gold piece, a character can buy a belt pouch, 50 feet of good rope, or a goat. A skilled (but not exceptional) artisan can earn one gold piece a day. The gold piece is the standard unit of measure for wealth, even if the coin itself is not commonly used. When merchants discuss deals that involve goods or services worth hundreds or thousands of gold pieces, the transactions don't usually involve the exchange of individual coins. Rather, the gold piece is a standard measure of value, and the actual exchange is in gold bars, letters of credit, or valuable goods.One gold piece is worth ten silver pieces, the most prevalent coin among commoners. A silver piece buys a laborer's work for a day, a flask of lamp oil, or a night's rest in a poor inn.One silver piece is worth ten copper pieces, which are common among laborers and beggars. A single copper piece buys a candle, a torch, or a piece of chalk.In addition, unusual coins made of other precious metals sometimes appear in treasure hoards. The electrum piece (ep) and the platinum piece (pp) originate from fallen empires and lost kingdoms, and they sometimes arouse suspicion and skepticism when used in transactions. An electrum piece is worth five silver pieces, and a platinum piece is worth ten gold pieces.A standard coin weighs about a third of an ounce, so fifty coins weigh a pound."
Gold 5-Zino Coin,GGR,none,treasure,,,,5 gp,
Gold Zino,GGR,none,treasure,,,,1 gp,
Gold locket with a painted portrait inside,DMG,none,treasure,,,,25 gp,
Grappling Hook,PHB,none,adventuring gear,,,4 lb.,2 gp,
Greataxe,PHB,none,"weapon, martial weapon, melee weapon",,"1d12, slashing, - heavy, two-handed",7 lb.,30 gp," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Gunpowder Horn,DMG,none,"explosive, renaissance",,,2 lb.,35 gp,"Gunpowder is chiefly used to propel a bullet out of the barrel of a pistol or rifle, or it is formed into a bomb. Gunpowder is sold in small wooden kegs or in water-resistant powder horns.Setting fire to a container full of gunpowder can cause it to explode, dealing fire damage to creatures within 10 feet of it (3d6 for a powder horn). A successful DC 12 Dexterity saving throw halves the damage. Setting fire to an ounce of gunpowder causes it to flare for 1 round, shedding bright light in a 30-foot radius and dim light for an additional 30 feet."
Halberd,PHB,none,"weapon, martial weapon, melee weapon",,"1d10, slashing, - heavy, reach, two-handed",6 lb.,20 gp," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Hammer,PHB,none,adventuring gear,,,3 lb.,1 gp,
