Name,Source,Rarity,Type,Attunement,Properties,Weight,Value,Text
Chalcedony,DMG,none,treasure,,,,50 gp,An opaque white gemstone.
Chrysoberyl,DMG,none,treasure,,,,100 gp,A transparent yellow-green to pale green gemstone.
Chrysoprase,DMG,none,treasure,,,,50 gp,A translucent green gemstone.
Citrine,DMG,none,treasure,,,,50 gp,A transparent pale yellow-brown gemstone.
Coral,DMG,none,treasure,,,,100 gp,An opaque crimson gemstone.
Double-Bladed Scimitar,ERLW,none,"weapon, martial weapon, melee weapon",,"2d4, slashing, - special, two-handed",6 lb.,100 gp," Special. If you attack with a double-bladed scimitar as part of the Attack action on your turn, you can use a bonus action immediately after to make a melee attack with it. This attack deals 1d4 slashing damage on a hit, instead of 2d4. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Exotic Saddle,PHB,none,tack and harness,,,40 lb.,60 gp,An exotic saddle is required for riding any aquatic or flying mount.
Garnet,DMG,none,treasure,,,,100 gp,"A transparent red, brown-green, or violet gemstone."
Gold,PHB,none,Trade Good,,,1 lb.,50 gp,"Most wealth is not in coins. It is measured in livestock, grain, land, rights to collect taxes, or rights to resources (such as a mine or a forest).Guilds, nobles, and royalty regulate trade. Chartered companies are granted rights to conduct trade along certain routes, to send merchant ships to various ports, or to buy or sell specific goods. Guilds set prices for the goods or services that they control, and determine who may or may not offer those goods and services. Merchants commonly exchange trade goods without using currency."
Greatsword,PHB,none,"weapon, martial weapon, melee weapon",,"2d6, slashing, - heavy, two-handed",6 lb.,50 gp," Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Hand Crossbow,PHB,none,"weapon, range, martial weapon",,"1d6, piercing, - ammunition (30/120 ft.), light, loading",3 lb.,75 gp," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make."
Harbor Moon,WDH,none,treasure,,,,50 gp,"Platinum crescent inset with electrum, about three inches long with a hole large enough for a nib to fit in (1 harbor moon = 5,000 nibs)"
Heavy Crossbow,PHB,none,"weapon, range, martial weapon",,"1d10, piercing, - ammunition (100/400 ft.), heavy, loading, two-handed",18 lb.,50 gp," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Loading. Because of the time required to load this weapon, you can fire only one piece of ammunition from it when you use an action, bonus action, or reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Jade,DMG,none,treasure,,,,100 gp,"A translucent light green, deep green, or white gemstone."
Jasper,DMG,none,treasure,,,,50 gp,"An opaque blue, black, or brown gemstone."
Jet,DMG,none,treasure,,,,100 gp,An opaque deep black gemstone.
Longbow,PHB,none,"weapon, range, martial weapon",,"1d8, piercing, - ammunition (150/600 ft.), heavy, two-handed",2 lb.,50 gp," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
Magnifying Glass,PHB,none,adventuring gear,,,,100 gp,"This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite. A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed."
Moonstone,DMG,none,treasure,,,,50 gp,A translucent white with pale blue glow gemstone.
Muroosa Balm,EGW,none,adventuring gear,,,,100 gp,"This paste made from the muroosa bush is known to help prevent sunburn, but it is also a fire retardant. After spending 1 minute applying a quarter pint of muroosa balm to your skin, you gain resistance against fire damage for 1 hour.A dose of muroosa balm sufficient for treating sunburn costs 1 gp."
Olisuba Leaf,EGW,none,adventuring gear,,,,50 gp,"These dried leaves of the Olisuba tree, when steeped to make a tea, can help a body recover from strenuous activity. If you drink a dose of Olisuba tea during a long rest, your exhaustion level is reduced by 2 instead of 1 at the end of that long rest."
Onyx,DMG,none,treasure,,,,50 gp,"An opaque black and white banded, or pure black or white gemstone."
Pearl,DMG,none,treasure,,,,100 gp,"An opaque lustrous white, yellow, or pink gemstone."
Platinum 100-Zino Coin,GGR,none,treasure,,,,100 gp,
Poisoner's Kit,PHB,none,tools,,,2 lb.,50 gp,"A poisoner's kit includes the vials, chemicals, and other equipment necessary for the creation of poisons. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to craft or use poisons.Additionally, the Crafting and Harvesting Poison rules require the use of a poisoner's kit.A poisoner's kit is a favored resource for thieves, assassins, and others who engage in skulduggery. It allows you to apply poisons and create them from various materials. Your knowledge of poisons also helps you treat them. Components. A poisoner's kit includes glass vials, a mortar and pestle, chemicals, and a glass stirring rod. History. Your training with poisons can help you when you try to recall facts about infamous poisonings. Investigation, Perception. Your knowledge of poisons has taught you to handle those substances carefully, giving you an edge when you inspect poisoned objects or try to extract clues from events that involve poison. Medicine. When you treat the victim of a poison, your knowledge grants you added insight into how to provide the best care to your patient. Nature, Survival. Working with poisons enables you to acquire lore about which plants and animals are poisonous. Handle Poison. Your proficiency allows you to handle and apply a poison without risk of exposing yourself to its effects.Poisoner's ToolsActivityDCSpot a poisoned object10Determine the effects of a poison20See the Tool Proficiencies entry for more information."
Pride Silk,EGW,none,adventuring gear,,,1 lb.,100 gp,"The hearty silk unique to the region has long been a point of pride with the locals. When processed and woven properly, the resulting cloth is pride silk: an extremely flexible material with the durability of tanned leather. Pride silk has become a favorite cloth for use on military ship sails, war banners, and other utilitarian applications, but has also gained popularity in affluent circles. High-end clothing made from pride silk is both fashionable and protective, leading many nobles and wealthy merchants to seek full outfits and formal gowns made with it. The tailors skilled enough to create such outfits are few and far between, so while pride silk might be expensive as a raw material, outfits made of the cloth are prohibitively expensive for most common folk."
Quartz,DMG,none,treasure,,,,50 gp,"A transparent white, smoky gray, or yellow gemstone."
Sardonyx,DMG,none,treasure,,,,50 gp,An opaque bands of red and white gemstone.
Scale Mail,PHB,none,medium armor,,AC 14 + Dex (max 2),45 lb.,50 gp,"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks."
Spellbook,PHB,none,adventuring gear,,,3 lb.,50 gp,"Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells."
Spinel,DMG,none,treasure,,,,100 gp,"A transparent red, red-brown, or deep green gemstone."
Star rose quartz,DMG,none,treasure,,,,50 gp,A translucent rosy stone with white star-shaped center gemstone.
Tinker's Tools,PHB,none,Artisan's Tools,,,10 lb.,50 gp,"These special tools include the items needed to pursue a craft or trade. Proficiency with a set of artisan's tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisan's tools requires a separate proficiency.A set of tinker's tools is designed to enable you to repair many mundane objects. Though you can't manufacture much with tinker's tools, you can mend torn clothes, sharpen a worn sword, and patch a tattered suit of chain mail. Components. Tinker's tools include a variety of hand tools, thread, needles, a whetstone, scraps of cloth and leather, and a small pot of glue. History. You can determine the age and origin of objects, even if you have only a few pieces remaining from the original. Investigation. When you inspect a damaged object, you gain knowledge of how it was damaged and how long ago. Repair. You can restore 10 hit points to a damaged object for each hour of work. For any object, you need access to the raw materials required to repair it. For metal objects, you need access to an open flame hot enough to make the metal pliable.Tinker's ToolsActivityDCTemporarily repair a disabled device10Repair an item in half the time15Improvise a temporary item using scraps20See the Tool Proficiencies entry for more information."
Tourmaline,DMG,none,treasure,,,,100 gp,"A transparent pale green, blue, brown, or red gemstone."
Zircon,DMG,none,treasure,,,,50 gp,A transparent pale blue-green gemstone.
