Name,Source,Size,Type,Alignment,AC,HP,Speed,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Mythic Actions,Lair Actions,Regional Effects,Environment
Gnoll Flesh Gnawer,MPMM,Medium,monstrosity,chaotic evil,14 (studded leather),22 (4d8 + 4),30 ft.,12,14,12,8,10,8,Dex +4,,,,,,"darkvision 60 ft., passive Perception 10",Gnoll,1.0,," Multiattack. The gnoll makes one Bite attack and two Shortsword attacks. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Sudden Rush. Until the end of the turn, the gnoll's speed increases by 60 feet and it doesn't provoke opportunity attacks."," Rampage. After the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll moves up to half its speed and makes a Bite attack.",,,,,,"Arctic, Forest, Grassland, Hill"
Gnoll Hunter,MPMM,Medium,monstrosity,chaotic evil,13 (leather armor),22 (4d8 + 4),30 ft.,14,14,12,8,12,8,,"Perception +3, Stealth +4",,,,,"darkvision 60 ft., passive Perception 13",Gnoll,0.5,," Multiattack. The gnoll makes two Bite, Spear, or Longbow attacks. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage when used with two hands to make a melee attack. Longbow. Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage, and the target's speed is reduced by 10 feet until the end of its next turn."," Rampage. After the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll moves up to half its speed and makes a Bite attack.",,,,,,"Arctic, Forest, Grassland, Hill"
Gnoll Witherling,MPMM,Medium,undead,chaotic evil,12 (natural armor),11 (2d8 + 2),30 ft.,14,8,12,5,5,5,,,,,poison,"exhaustion, poisoned","darkvision 60 ft., passive Perception 7",understands Gnoll but can't speak,0.25," Unusual Nature. The witherling doesn't require air, food, drink, or sleep."," Multiattack. The witherling makes two Bite or Spiked Club attacks. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) necrotic damage. Spiked Club. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage."," Rampage. After the witherling reduces a creature to 0 hit points with a melee attack on its turn, the gnoll moves up to half its speed and makes one Bite attack."," Vengeful Strike. In response to a gnoll being reduced to 0 hit points within 30 feet of the witherling, the witherling makes one Bite or Spiked Club attack.",,,,,"Arctic, Forest, Grassland, Hill"
Orc,MM,Medium,humanoid (orc),chaotic evil,13 (hide armor),15 (2d8 + 6),30 ft.,16,12,16,7,11,10,,Intimidation +2,,,,,"darkvision 60 ft., passive Perception 10","Common, Orc",0.5," Aggressive. As a bonus action, the orc can move up to its speed toward a hostile creature that it can see."," Greataxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 9 (1d12 + 3) slashing damage. Javelin. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 6 (1d6 + 3) piercing damage.",,,,,,,"Arctic, Forest, Grassland, Hill, Mountain, Swamp, Underdark"
Giant Owl,MM,Large,beast,neutral,12,19 (3d10 + 3),"5 ft., fly 60 ft.",13,15,12,8,13,10,,"Perception +5, Stealth +4",,,,,"darkvision 120 ft., passive Perception 15","Giant Owl, understands Common, Elvish, and Sylvan but can't speak them",0.25, Flyby. The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach. Keen Hearing and Sight. The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.," Talons. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 8 (2d6 + 1) slashing damage.",,,,,,,"Arctic, Forest, Hill"
Brown Bear,MM,Large,beast,unaligned,11 (natural armor),34 (4d10 + 12),"40 ft., climb 30 ft.",19,10,16,2,13,7,,Perception +3,,,,,passive Perception 13,—,1.0, Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell.," Multiattack. The bear makes two attacks: one with its bite and one with its claws. Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage. Claws. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.",,,,,,,"Arctic, Forest, Hill"
Crab,MM,Tiny,beast,unaligned,11 (natural armor),2 (1d4),"20 ft., swim 20 ft.",2,11,10,1,8,2,,Stealth +2,,,,,"blindsight 30 ft., passive Perception 9",—,0.0, Amphibious. The crab can breathe air and water.," Claw. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage.",,,,,,,Coastal
Giant Crab,MM,Medium,beast,unaligned,15 (natural armor),13 (3d8),"30 ft., swim 30 ft.",13,15,11,1,9,3,,Stealth +4,,,,,"blindsight 30 ft., passive Perception 9",—,0.125, Amphibious. The crab can breathe air and water.," Claw. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage, and the target is grappled (escape DC 11). The crab has two claws, each of which can grapple only one target.",,,,,,,Coastal
Tortle,MPMM,Medium,humanoid,any alignment,17 (natural armor),22 (4d8 + 4),30 ft.,15,10,12,11,13,12,,"Athletics +4, Survival +3",,,,,passive Perception 11,"Aquan, Common",0.25, Hold Breath. The tortle can hold its breath for 1 hour.," Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage. Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands in melee. Light Crossbow. Ranged Weapon Attack: +2 to hit, range 80/320 ft., one target. Hit: 4 (1d8) piercing damage. Shell Defense. The tortle withdraws into its shell. Until it emerges, it gains a +4 bonus to AC and has advantage on Strength and Constitution saving throws. While in its shell, the tortle is prone, its speed is 0 and can't increase, it has disadvantage on Dexterity saving throws, it can't take reactions, and the only action it can take is a bonus action to emerge.",,,,,,,Coastal
Giant Wolf Spider,MM,Medium,beast,unaligned,13,11 (2d8 + 2),"40 ft., climb 40 ft.",12,16,13,3,12,4,,"Perception +3, Stealth +7",,,,,"blindsight 10 ft., darkvision 60 ft., passive Perception 13",—,0.25," Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check. Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web. Web Walker. The spider ignores movement restrictions caused by webbing."," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 7 (2d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.",,,,,,,"Coastal, Desert, Forest, Grassland, Hill"
Stirge,MM,Tiny,beast,unaligned,14 (natural armor),2 (1d4),"10 ft., fly 40 ft.",4,16,11,2,8,6,,,,,,,"darkvision 60 ft., passive Perception 9",—,0.125,," Blood Drain. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) piercing damage, and the stirge attaches to the target. While attached, the stirge doesn't attack. Instead, at the start of each of the stirge's turns, the target loses 5 (1d4 + 3) hit points due to blood loss.The stirge can detach itself by spending 5 feet of its movement. It does so after it drains 10 hit points of blood from the target or the target dies. A creature, including the target, can use its action to detach the stirge.",,,,,,,"Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Urban"
Guard,MM,Medium,humanoid (any race),any alignment,"16 (chain shirt, shield)",11 (2d8 + 2),30 ft.,13,12,12,10,11,10,,Perception +2,,,,,passive Perception 12,any one language (usually Common),0.125,," Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.",,,,,,,"Coastal, Desert, Forest, Grassland, Hill, Mountain, Urban"
Poisonous Snake,MM,Tiny,beast,unaligned,13,2 (1d4),"30 ft., swim 30 ft.",2,16,11,1,10,3,,,,,,,"blindsight 10 ft., passive Perception 10",—,0.125,," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage, and the target must make a DC 10 Constitution saving throw, taking 5 (2d4) poison damage on a failed save, or half as much damage on a successful one.",,,,,,,"Coastal, Desert, Forest, Grassland, Hill, Swamp"
Pseudodragon,MM,Tiny,dragon,neutral good,13,7 (2d4 + 2),"15 ft., fly 60 ft.",6,15,13,10,12,10,,"Perception +3, Stealth +4",,,,,"blindsight 10 ft., darkvision 60 ft., passive Perception 13",understands Common and Draconic but can't speak,0.25," Keen Senses. The pseudodragon has advantage on Wisdom (Perception) checks that rely on sight, hearing, or smell. Limited Telepathy. The pseudodragon can magically communicate simple ideas, emotions, and images telepathically with any creature within 100 feet of it that can understand a language. Magic Resistance. The pseudodragon has advantage on saving throws against spells and other magical effects."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Sting. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or become poisoned for 1 hour. If the saving throw fails by 5 or more, the target falls unconscious for the same duration, or until it takes damage or another creature uses an action to shake it awake.",,,,,,,"Coastal, Desert, Forest, Hill, Mountain, Urban"
Giant Toad,MM,Large,beast,unaligned,11,39 (6d10 + 6),"20 ft., swim 40 ft.",15,13,13,2,10,3,,,,,,,"darkvision 30 ft., passive Perception 10",—,1.0," Amphibious. The toad can breathe air and water. Standing Leap. The toad's long jump is up to 20 feet and its high jump is up to 10 feet, with or without a running start."," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 5 (1d10) poison damage, and the target is grappled (escape DC 13). Until this grapple ends, the target is restrained, and the toad can't bite another target. Swallow. The toad makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is swallowed, and the grapple ends. The swallowed target is blinded and restrained, it has total cover against attacks and other effects outside the toad, and it takes 10 (3d6) acid damage at the start of each of the toad's turns. The toad can have only one target swallowed at a time.If the toad dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 5 feet of movement, exiting prone.",,,,,,,"Coastal, Desert, Forest, Swamp, Underdark"
Giant Lizard,MM,Large,beast,unaligned,12 (natural armor),19 (3d10 + 3),"30 ft., climb 30 ft.",15,12,13,2,10,5,,,,,,,"darkvision 30 ft., passive Perception 10",—,0.25,," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",,,,,,,"Coastal, Desert, Forest, Swamp, Underdark"
Harpy,MM,Medium,monstrosity,chaotic evil,11,38 (7d8 + 7),"20 ft., fly 40 ft.",12,13,12,7,10,13,,,,,,,passive Perception 10,Common,1.0,," Multiattack. The harpy makes two attacks: one with its claws and one with its club. Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage. Club. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage. Luring Song. The harpy sings a magical melody. Every humanoid and giant within 300 feet of the harpy that can hear the song must succeed on a DC 11 Wisdom saving throw or be charmed until the song ends. The harpy must take a bonus action on its subsequent turns to continue singing. It can stop singing at any time. The song ends if the harpy is incapacitated.While charmed by the harpy, a target is incapacitated and ignores the songs of other harpies. If the charmed target is more than 5 feet away from the harpy, the target must move on its turn toward the harpy by the most direct route. It doesn't avoid opportunity attacks, but before moving into damaging terrain, such as lava or a pit, and whenever it takes damage from a source other than the harpy, a target can repeat the saving throw. A creature can also repeat the saving throw at the end of each of its turns. If a creature's saving throw is successful, the effect ends on it.A target that successfully saves is immune to this harpy's song for the next 24 hours.",,,,,,,"Coastal, Forest, Hill, Mountain"
Skulk,MPMM,Medium,monstrosity,chaotic neutral,14,18 (4d8),30 ft.,6,19,10,10,7,1,Con +2,Stealth +8,,,,blinded,"darkvision 120 ft., passive Perception 8",understands Common but can't speak,0.5," Fallible Invisibility. The skulk is invisible. This invisibility can be circumvented by three things:Charnel Candles. The skulk appears as a dim, translucent form in the light of a candle made of fat rendered from a corpse whose identity is unknown.Children. Humanoid children, aged 10 and under, can see through this invisibility.Reflective Surfaces. The skulk appears as a drab, smoothskinned biped if its reflection can be seen in a mirror or on another surface. Trackless. The skulk leaves no tracks to indicate where it has been or where it's headed."," Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) slashing damage plus 3 (1d6) necrotic damage.",,,,,,,"Coastal, Forest, Swamp, Underdark, Urban"
Giant Eagle,MM,Large,beast,neutral good,13,26 (4d10 + 4),"10 ft., fly 80 ft.",16,17,13,8,14,10,,Perception +4,,,,,passive Perception 14,"Giant Eagle, understands Common and Auran but can't speak them",1.0, Keen Sight. The eagle has advantage on Wisdom (Perception) checks that rely on sight.," Multiattack. The eagle makes two attacks: one with its beak and one with its talons. Beak. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage. Talons. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.",,,,,,,"Coastal, Grassland, Hill, Mountain"
Eagle,MM,Small,beast,unaligned,12,3 (1d6),"10 ft., fly 60 ft.",6,15,10,2,14,7,,Perception +4,,,,,passive Perception 14,—,0.0, Keen Sight. The eagle has advantage on Wisdom (Perception) checks that rely on sight.," Talons. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",,,,,,,"Coastal, Grassland, Hill, Mountain"
Pteranodon,MM,Medium,beast,unaligned,13 (natural armor),13 (3d8),"10 ft., fly 60 ft.",12,15,10,2,9,5,,Perception +1,,,,,passive Perception 11,—,0.25, Flyby. The pteranodon doesn't provoke opportunity attacks when it flies out of an enemy's reach.," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) piercing damage",,,,,,,"Coastal, Grassland, Mountain"
Dimetrodon,MPMM,Medium,beast (dinosaur),unaligned,12 (natural armor),19 (3d8 + 6),"30 ft., swim 20 ft.",14,10,15,2,10,5,,Perception +2,,,,,passive Perception 12,—,0.25,," Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) piercing damage.",,,,,,,"Coastal, Swamp"
Sea Spawn,MPMM,Medium,monstrosity,neutral evil,11 (natural armor),32 (5d8 + 10),"20 ft., swim 30 ft.",15,8,15,6,10,8,,,,,,,"darkvision 120 ft., passive Perception 10",understands Aquan and Common but can't speak,1.0," Limited Amphibiousness. The sea spawn can breathe air and water, but it needs to be submerged in the sea at least once a day for 1 minute to avoid suffocating."," Multiattack. The sea spawn makes two Unarmed Strike attacks and one Piscine Anatomy attack. Unarmed Strike. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) bludgeoning damage. Piscine Anatomy. The sea spawn uses one of the following options (choose one or roll a d6):1–2: Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.3–4: Poison Quills. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 3 (1d6) poison damage, and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.5–6: Tentacle. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage, and the target is grappled (escape DC 12) if it is a Medium or smaller creature. Until this grapple ends, the sea spawn can't use this tentacle on another target.",,,,,,,"Coastal, Underwater"
Merfolk,MM,Medium,humanoid (merfolk),neutral,11,11 (2d8 + 2),"10 ft., swim 40 ft.",10,13,12,11,11,12,,Perception +2,,,,,passive Perception 12,"Aquan, Common",0.125, Amphibious. The merfolk can breathe air and water.," Spear. Melee or Ranged Weapon Attack: +2 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 3 (1d6) piercing damage, or 4 (1d8) piercing damage if used with two hands to make a melee attack.",,,,,,,"Coastal, Underwater"
Sahuagin,MM,Medium,humanoid (sahuagin),lawful evil,12 (natural armor),22 (4d8 + 4),"30 ft., swim 40 ft.",13,11,12,12,13,9,,Perception +5,,,,,"darkvision 120 ft., passive Perception 15",Sahuagin,0.5," Blood Frenzy. The sahuagin has advantage on melee attack rolls against any creature that doesn't have all its hit points. Limited Amphibiousness. The sahuagin can breathe air and water, but it needs to be submerged at least once every 4 hours to avoid suffocating. Shark Telepathy. The sahuagin can magically command any shark within 120 feet of it, using a limited telepathy."," Multiattack. The sahuagin makes two melee attacks: one with its bite and one with its claws or spear. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage. Claws. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) slashing damage. Spear. Melee or Ranged Weapon Attack: +3 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) piercing damage if used with two hands to make a melee attack.",,,,,,,"Coastal, Underwater"
Dolphin,MPMM,Medium,beast,unaligned,12 (natural armor),11 (2d8 + 2),"0 ft., swim 60 ft.",14,13,13,6,12,7,,Perception +3,,,,,"blindsight 60 ft., passive Perception 13",—,0.125, Hold Breath. The dolphin can hold its breath for 20 minutes.," Slam. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage. If the dolphin moved at least 30 feet straight toward the target immediately before the hit, the target takes an extra 3 (1d6) bludgeoning damage.",,,,,,,"Coastal, Underwater"
Scorpion,MM,Tiny,beast,unaligned,11 (natural armor),1 (1d4 - 1),10 ft.,2,11,8,1,8,2,,,,,,,"blindsight 10 ft., passive Perception 9",—,0.0,," Sting. Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must make a DC 9 Constitution saving throw, taking 4 (1d8) poison damage on a failed save, or half as much damage on a successful one.",,,,,,,Desert
Death Dog,MM,Medium,monstrosity,neutral evil,12,39 (6d8 + 12),40 ft.,15,14,14,3,13,6,,"Perception +5, Stealth +4",,,,,"darkvision 120 ft., passive Perception 15",—,1.0," Two-Headed. The dog has advantage on Wisdom (Perception) checks and on saving throws against being blinded, charmed, deafened, frightened, stunned, or knocked unconscious."," Multiattack. The dog makes two bite attacks. Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a creature, it must succeed on a DC 12 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse, the creature must repeat the saving throw, reducing its hit point maximum by 5 (1d10) on a failure. This reduction lasts until the disease is cured. The creature dies if the disease reduces its hit point maximum to 0.",,,,,,,Desert
Dust Mephit,MM,Small,elemental,neutral evil,12,17 (5d6),"30 ft., fly 30 ft.",5,14,10,9,11,10,,"Perception +2, Stealth +4",fire,,poison,poisoned,"darkvision 60 ft., passive Perception 12","Auran, Terran",0.5," Death Burst. When the mephit dies, it explodes in a burst of dust. Each creature within 5 feet of it must then succeed on a DC 10 Constitution saving throw or be blinded for 1 minute. A blinded creature can repeat the saving throw on each of its turns, ending the effect on itself on a success. Innate Spellcasting (1/Day). The mephit can innately cast sleep, requiring no material components. Its innate spellcasting ability is Charisma."," Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) slashing damage. Blinding Breath (Recharge 6). The mephit exhales a 15-foot cone of blinding dust. Each creature in that area must succeed on a DC 10 Dexterity saving throw or be blinded for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,,Desert
Camel,MM,Large,beast,unaligned,9,15 (2d10 + 4),50 ft.,16,8,14,2,8,5,,,,,,,passive Perception 9,—,0.125,," Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 2 (1d4) bludgeoning damage.",,,,,,,Desert
